STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TEMP
94852099999,"BALLARAT AERODROME, AS",-37.5166666,143.7833333,436.0,68.5
95286099999,"MAREEBA AIRPORT AWS, AS",-17.0666666,145.4333333,473.0,76.0
94827099999,"NHILL AERODROME, AS",-36.3166666,141.6333333,140.0,75.5
94326099999,"ALICE SPRINGS, AS",-23.806667,133.902222,545.28,85.4
95969099999,"CRESSY RESEARCH STATION, AS",-41.7333333,147.0833333,150.0,62.2
95890099999,"YARRAM AIRPORT, AS",-38.5666666,146.75,18.0,66.2
94774099999,"NEWCASTLE NOBBYS SIGNAL STATION, AS",-32.9166666,151.7833333,33.0,66.1
95482099999,"BIRDSVILLE, AS",-25.8975,139.3475,47.85,94.8
95402099999,"SHARK BAY AIRPORT, AS",-25.9,113.5833333,34.0,78.3
95807099999,"KINGSTONE AERO, AS",-35.7166666,137.5166666,6.0,66.0
95480099999,"MARREE AERO, AS",-29.6666666,138.0666666,51.0,89.6
95204099999,"WEST ROEBUCK, AS",-17.9,122.3166666,32.0,88.0
94766099999,"CANTERBURY RACECOURSE, AS",-33.9,151.1166666,3.0,65.5
95667099999,"CLARE HIGH SCHOOL, AS",-33.8166666,138.6,396.0,75.9
95637099999,"LAKE GRACE, AS",-33.1,118.4666666,286.0,68.9
94878099999,"HUNTERS HILL, AS",-36.2166666,147.5333333,981.0,59.2
94913099999,"GELANTIPY, AS",-37.2166666,148.2666666,756.0,58.7
94685099999,"KADINA, AS",-33.97,137.67,42.0,75.4
94750099999,"NOWRA, AS",-34.948889,150.536944,121.92,63.7
94662099999,"CLEVE AERODROME, AS",-33.7166666,136.5,176.0,68.9
95916099999,"CABRAMURRA SMHEA, AS",-35.9333333,148.3833333,1483.0,51.5
95638099999,"ESPERANCE AERO, AS",-33.6833333,121.8333333,144.0,65.7
94935099999,"MALLACOOTA, AS",-37.6,149.7333333,22.0,63.7
95753099999,"RICHMOND RAAF, AS",-33.6,150.7833333,20.0,63.8
94964099999,"BUSHY PARK BUSHY PARK ESTATES, AS",-42.7166666,146.9,27.0,61.5
94854099999,"AVALON AIRPORT, AS",-38.0333333,144.4666666,11.0,70.6
94691099999,"BROKEN HILL AIRPORT AWS, AS",-32.0,141.4666666,282.0,82.6
94921099999,"COOMA AIRPORT AWS, AS",-36.3,148.9666666,931.0,56.3
94856099999,"GEELONG CITY, AS",-38.083,144.333,55.0,68.2
95527099999,"MOREE AERO, AS",-29.4914,149.8458,218.5,78.9
94595599999,"GOVE, AS",-12.269444,136.818333,58.52,77.5
95295099999,"AYR DPI RESEARCH STATION, AS",-19.6166666,147.3833333,12.0,79.3
95632099999,"BRIDGETOWN, AS",-33.95,116.1333333,179.0,68.7
94217099999,"ARGYLE AERODROME, AS",-16.6333333,128.45,165.0,91.7
